 作者  MrSatan (老大!!!!!!!!)                                    看板  C_Chat 
 標題  Re: [推投] 最喜歡日本女聲優前三名 "積分制"投票結果                     
 時間  Wed May  6 21:00:17 2020                                               
───────────────────────────────────────

共307人投/總票數865票/出現162位女聲優
有修正格式/名字

第十名
東山奈央 第一名票: 7票 總票數:24票 總積分: 47分  28歲(並列)
 種田梨沙 第一名票: 9票 總票數:21票 總積分: 47分  31歲
https://i.imgur.com/gEKQjfO.jpg

第九名
佐倉綾音 第一名票: 9票 總票數:28票 總積分: 53分  26歲
https://i.imgur.com/KKojdZ7.jpg

第八名
林原惠   第一名票:14票 總票數:21票 總積分: 54分  53歲
https://i.imgur.com/vUYjk1C.jpg

第七名
悠木碧   第一名票: 8票 總票數:31票 總積分: 60分  28歲
https://i.imgur.com/nJdGcL3.jpg

第六名
水瀨祈   第一名票:14票 總票數:29票 總積分: 66分  24歲
https://i.imgur.com/UYkQZdQ.jpg
第四名
花澤香菜 第一名票:12票 總票數:38票 總積分: 76分  31歲
https://i.imgur.com/XUVbmIH.jpg

第三名
高橋李依 第一名票:15票 總票數:38票 總積分: 77分  26歲
https://i.imgur.com/jm2lR5y.jpg

第二名
茅野愛衣 第一名票:15票 總票數:38票 總積分: 82分  32歲
https://i.imgur.com/p7hGMn2.jpg

第一名
早見沙織 第一名票:26票 總票數:71票 總積分:149分  28歲
https://i.imgur.com/kDwsz6q.jpg


第一 第一 第二 第三 總票 票數  總 
 RK 聲優     名票 票率 名票 名票  數 /人數 積分
1 早見沙織   26 8.5%  26   19   71 23.1%  149  28歲(1991/05/29)
102 新谷良子    0 0.0%   1    0    1  0.3%    2
102 齊藤朱夏    0 0.0%   1    0    1  0.3%    2
102 廣橋涼      0 0.0%   1    0    1  0.3%    2
129 Lynn
0 0.0%   0    1    1  0.3%    1
129 ゆかり      0 0.0%   0    1    1  0.3%    1
129 久川綾      0 0.0%   0    1    1  0.3%    1
129 大山羨代    0 0.0%   0    1    1  0.3%    1 年紀最大86歲(1933/10/16)
129 小山百代    0 0.0%   0    1    1  0.3%    1
129 小林優      0 0.0%   0    1    1  0.3%    1
129 小泉萌香    0 0.0%   0    1    1  0.3%    1
129 小原莉子    0 0.0%   0    1    1  0.3%    1
129 內山夕實    0 0.0%   0    1    1  0.3%    1
129 分倍河原シホ0 0.0%   0    1    1  0.3%    1
129 巴山萌菜    0 0.0%   0    1    1  0.3%    1
129 日高里菜    0 0.0%   0    1    1  0.3%    1
129 平松晶子    0 0.0%   0    1    1  0.3%    1
129 田中ちえ美  0 0.0%   0    1    1  0.3%    1
129 田中敦子    0 0.0%   0    1    1  0.3%    1
129 伊藤彩沙    0 0.0%   0    1    1  0.3%    1
129 村川梨衣    0 0.0%   0    1    1  0.3%    1
129 赤崎千夏    0 0.0%   0    1    1  0.3%    1
129 幸村惠理    0 0.0%   0    1    1  0.3%    1
129 松來未祐    0 0.0%   0    1    1  0.3%    1
129 門脇舞以    0 0.0%   0    1    1  0.3%    1
129 後藤沙緒理  0 0.0%   0    1    1  0.3%    1
129 宮崎羽衣    0 0.0%   0    1    1  0.3%    1
129 神崎嘉成    0 0.0%   0    1    1  0.3%    1
129 高橋美佳子  0 0.0%   0    1    1  0.3%    1
129   斎
賀みつき  0 0.0%   0    1    1  0.3%    1
129 湯屋敦子    0 0.0%   0    1    1  0.3%    1
129 新井里美    0 0.0%   0    1    1  0.3%    1
129 新田惠海    0 0.0%   0    1    1  0.3%    1
129 緒方惠美    0 0.0%   0    1    1  0.3%    1
129 諏訪彩花    0 0.0%   0    1    1  0.3%    1
129 藤村鼓乃美  0 0.0%   0    1    1  0.3%    1
307
286272865


前五名投票成長趨勢圖
https://i.imgur.com/J6mXFEV.jpg

※ 引述《MrSatan (老大!!!!!!!!)》之銘言：
: 在討論聲優 就來投投喜歡的女聲優吧 補充:這邊限定日本女聲優
: 最喜歡的前三名女聲優 3票 積分制(3/2/1分) 不重複計算
: 投票格式:最喜歡女聲優全名@ 第二喜歡女聲優全名@ 第三喜歡女聲優全名@
: [請盡量打中文全名方便判別,不要只打綽號/姓/名怕混淆] (無法判斷投誰不計)
: 如果中文全名很模糊可以再打日文全名
: 單一推文 計不重複的前三位女聲優
: 重複推文 如果不是因為補足3票,而是重新投票,就會重新計算
: 再次提醒是積分制哦~ 估計下週三開票
: PS:是指本人是女性,而非配音角色是女性

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.228.11.218 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770019.A.A58.html
推 DreamRecord: \沙織/                                             05/06 21:03
推 defenser: 雖然我是早見粉，但看到早見第一名還是很驚訝            05/06 21:07
推 MutsuKai: \早見/ \伊卡/                                         05/06 21:09
推 jesuschristo: \早見/                                            05/06 21:15
→ loserloser: 早見第一正常吧                                      05/06 21:16
推 hedgehogs: 開放式名單投票真殘酷                                 05/06 21:24
推 a123444556: 正常啦 開放式一定是有人氣的排前面                   05/06 21:30
推 pony147369: 大亂鬥                                              05/06 21:32
推 vorsss: 早見的聲音真的很特別 聽起來又舒服                       05/06 21:33
推 smilefun1996: 佐倉意外的後面                                    05/06 21:33
推 jij61029: 一直在想前十名會不會出現沙織    想不到她是第一名啊啊  05/06 21:44
→ jij61029: 啊啊啊，超開心的！                                    05/06 21:44
推 recursive: 樓下早見黑 說早見是盜版能登                          05/06 21:48
推 rootpresent: 早見大法 耶 黑                                     05/06 21:48
→ rootpresent: 便宜版能登                                         05/06 21:49
推 isfen: \早見/                                                   05/06 21:49
推 kurenaiz: 真神奇 早見居然第一                                   05/06 22:01


--------------------------------------------------------


 作者  nanachi (上善若水)                                        看板  C_Chat 
 標題  [閒聊] panpiano和Ru味春捲洽友如何評價呢？                              
 時間  Wed May  6 21:01:26 2020                                               
───────────────────────────────────────



先說我兩位都有訂閱，而且都是頻道早期都有關注

，畢竟都是洽友，最近看到她們頻道發展很順利，

尤其Ru即將突破百萬訂閱，版友們如何評價這兩

位呢？


https://youtu.be/dtBLvBXPmBE

https://youtu.be/XUoPFp7MGVI
-----
Sent from JPTT on my iPhone

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 134.208.40.63 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770088.A.B3D.html
→ kiversonx17: 為了吸點閱 愈穿愈...                               05/06 21:02
→ a123444556: 給箭頭 前陣子跟昨天都有討論文章                     05/06 21:02
→ yukimura0420: 之前不是才有板友問過了= =                         05/06 21:02
→ oread168: 誰= =                                                 05/06 21:03
→ feeling5322: 希望只是單純想分享討論 而不是有心引戰阿            05/06 21:03
→ nanachi: 沒有要引戰，大家請理性發言喔                           05/06 21:04
推 supaucat: 純才藝 只拍手指的話訂閱有現在1/10才有鬼               05/06 21:04
→ vorsss: ㄏㄏ 恨會                                               05/06 21:05
→ vorsss: 而且昨天問過了 再問個新梗吧                             05/06 21:05
噓 Stat14: 現在是每晚都要一篇就是了？                              05/06 21:05
→ yuherngshi: 讓大家有假裝欣賞鋼琴的機會 不錯啊                   05/06 21:06
推 anumber: 有奶子就推                                             05/06 21:07
推 Baumgartner: 純論琴技 ru背譜 那個練習時間起碼多5倍              05/06 21:07
→ Baumgartner: 另一個穿穿cos服就50萬點閱  好賺太多                05/06 21:08
噓 rp20031219: 我感覺每個禮拜都能看到一篇這個                      05/06 21:08
推 RoaringWolf: 只拍手指的觸手猴：有人叫我？                       05/06 21:08
推 shadowdio: 我都看重新編曲+多樂器兼剪輯影片的 雖然訂閱屌輸露奶   05/06 21:09
→ ga839429: 水準到一定程度背譜反而不是難事                        05/06 21:09
推 cookiecloud: 背譜在表演時是很基本的，連譜都背不起來根本ㄏㄏ     05/06 21:09
噓 s2751138: a                                                     05/06 21:10
→ allanbrook: 本人這麼常來版上還一直被討論的大概也沒幾個人了      05/06 21:10
→ owo0204: 彈的很好看 不開聲音也能享受                            05/06 21:11
噓 palapalanhu: 要幾篇                                             05/06 21:11
→ cookiecloud: 某一人的編曲那個譜真的不好背，因為實在太單調了XDD  05/06 21:12
→ rp20031219: 明天再讓我看到這問題我一定噓                        05/06 21:12
推 GY426: 戰起來 一山不容二虎                                      05/06 21:12
噓 jesuschristo: 洗文章ㄇ 加油                                     05/06 21:13
噓 areysky: 沒什麼好比的                                           05/06 21:14
推 busters0: 只拍手指ww                                            05/06 21:16
推 ahw12000: https://youtu.be/LRt8vT4nh8w?t=4 我都看這頻道         05/06 21:17
推 Satoman: 我覺得看江老師練譜比較有趣 ==                          05/06 21:17
推 messi5566: 要看琴技不如看江老師==                               05/06 21:18
推 rp20031219: 那想看寢技要看哪個老師呢                            05/06 21:20
噓 kinomon: 下去                                                   05/06 21:20
推 peter0318: https://youtu.be/9lbhSyMLR-M   我都在看貓            05/06 21:22
→ Tiandai: 請問為什麼每天幾乎都一篇這種文                         05/06 21:22
推 ChaosK: 其實RU就算不拍新片人氣還是會加很快,因為龍珠串燒的影片   05/06 21:23
→ ChaosK: 一國一國再傳,光靠那部就可以一直增加粉絲了               05/06 21:23
→ ChaosK:         在                                              05/06 21:23
噓 philip81501: 打手洗文章？                                       05/06 21:25
推 Baumgartner: 老實說 各個鋼琴youtuber 從marasy 或外國大叔 canac  05/06 21:29
→ Baumgartner: ana 一路看下來 敢大剌剌放譜的只有某個人 = =        05/06 21:29
→ dickec35: 最近很常有人PO這種文，難免讓人懷疑是不是別有用心      05/06 21:29
推 messi5566: Kylelandry:有人說放譜嗎？                            05/06 21:31
→ messi5566: https://youtu.be/puAuDt6aNsw                         05/06 21:31
推 jeeyi345: 打手槍                                                05/06 21:31
推 a2364983: 兩個都很香 <3 希望有機會合作                          05/06 21:33
噓 ZeLim: 幹是要幾篇                                               05/06 21:33
推 randyhgmac: 我也覺得樓主你為什麼不回文，就硬是要開一篇新的，也  05/06 21:36
→ randyhgmac: 沒有什麼論點跟內容                                  05/06 21:36
推 Boss741108: https://youtu.be/z1-6uPSOEf4                        05/06 21:39
推 freedom56: 笑了 現在改戰放譜喔XD                                05/06 21:40
→ spfy: 每次發文都有新戰點                                        05/06 21:41
推 Ikaros2601: 放譜就放譜啊  天堂、ek也不是一樣看譜打              05/06 21:41
推 Boss741108: https://youtu.be/k5aYlsDxzXA                        05/06 21:47
噓 richardz: 釣魚囉                                                05/06 21:51
推 Luvsic: 不背譜的大師一堆，這兩位技術是有不少可挑剔之處，但怎樣  05/06 21:52
→ Luvsic: 也不是這個點                                            05/06 21:52
推 sck3612575: 如何評價唷 就都各自抓到吸引人看得點啊               05/06 21:55
推 llabc1000: 上面那個點開就有貓   我選上面那個                    05/06 21:56
推 s02180218: 都是文明觀球的頻道                                   05/06 21:57
推 bomda: 看奶也能戰 真他媽低O                                     05/06 22:01
→ mojojojo5217: 放譜哪有差 誰有奶就看誰                           05/06 22:06
推 engelba: 看個奶也雞雞歪歪那麼多 眼紅人家賺得多喔= =             05/06 22:06
噓 vm3gjp4: 噓廣告文                                               05/06 22:13
→ sweetmiki: pianoboy                                             05/06 22:17
推 zamperla: 競爭好啊 越穿越少                                     05/06 22:20


--------------------------------------------------------


 作者  e741000 (複利葉。腹便。幫浦拉絲)                          看板  C_Chat 
 標題  [閒聊] 1990到2000算動畫黃金時期嗎                                      
 時間  Wed May  6 21:02:34 2020                                               
───────────────────────────────────────


不知道怎樣這段時間的動畫
感覺作畫質感 劇情用心程度
都比後來的動畫都高
不知道是貴古賤今嗎
還是只是懷念機器人橫行的年代
1990到2000年
算動畫黃金時期嗎

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.77.241.243 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770158.A.2ED.html
→ yuizero: 有點無語......                                         05/06 21:03
→ jeeplong: 最典型的貴古賤今                                      05/06 21:03
→ jeeplong: 只是因為作品多有糞作就以為所有作品變爛                05/06 21:04
→ Nuey: 可以比較一下1990~2000和2010~2020出產的動畫數量            05/06 21:05
推 johnli: 每次講都只會講經典的那幾部                              05/06 21:05
→ Nuey: 你就知道差在哪了以前良率很高  現在良率不高你才有這種錯覺  05/06 21:06
噓 PttDreaming: 當2011塑膠？                                       05/06 21:07
推 vorsss: 每個時期都有良作跟糞作 現在的動畫也很好看阿             05/06 21:08
推 fatcat0423: 不要拿ova時期比TV動畫時期 根本懶較比雞腿            05/06 21:08
推 pgame3: 說是ova的黃金期就沒錯了吧                               05/06 21:08
→ haoboo: 你只是懷念你的青春,初戀總是美好的                       05/06 21:08
→ hellwize: 4                                                     05/06 21:09
→ fatcat0423: 日系動畫黃金年代是80年代 那時的幾個大製作現在幾乎   05/06 21:09
→ fatcat0423: 是不可能有同等級的製作了                            05/06 21:09
→ haoboo: 每個年代都有人在說黃金期啦,看過三四次輪迴了             05/06 21:10
→ haoboo: 80年代看不起90年代,90年代看不起世紀末,世紀末看不起10年  05/06 21:11
噓 devilkool: 我笑了                                               05/06 21:11
推 shadowdio: 會動就好 是要畫多認真                                05/06 21:15
噓 coon182: 閱                                                     05/06 21:17
噓 isaswa: 日經文                                                  05/06 21:17
推 n20001006: 一直都是越現代越進步吧 只是真的有段時間太多每部都    05/06 21:19
→ n20001006: 長一樣的輕改校園異世界作了 我覺得現在情況有改善 下   05/06 21:19
→ n20001006: 個10年應該能看到動畫的一個新世紀                     05/06 21:19
噓 insanee: 沒錯 就是貴古賤今                                      05/06 21:21
→ fatcat0423: 一直都是一代比一代強啊 只是製作規模差距             05/06 21:21
→ fatcat0423: 現在的日常系動畫演出手法 就是動畫製作進步的證明 以  05/06 21:23
→ fatcat0423: 前很少有這麼精細的演出                              05/06 21:23
推 bc007004: 問題出在現在動畫數量太多了，比較多了糞作自然就多      05/06 21:30
推 karen50630: 其實是自己變了                                      05/06 21:31
推 loverxa: 2005~2015大概是神作最多的十年                          05/06 21:35
推 LUDWIN: 因為不好看的你都沒看過或忘記了                          05/06 21:36
推 opeminbod001: 1990-2010很多經典作品 平均水準高 但我神作給最高   05/06 22:10
→ opeminbod001: 比例是在2010-2020 這段時期上下界很大              05/06 22:10


--------------------------------------------------------


 作者  twmadrid (阿偉)                                           看板  C_Chat 
 標題  [閒聊] 紅髮傑克可以阻止上古卷軸5的內戰嗎?                              
 時間  Wed May  6 21:09:27 2020                                               
───────────────────────────────────────



紅髮傑克出現在頂上戰爭

要求海軍 海賊停戰了

給個面子 不要打了

戰國也妥協

那麼要是他去上古卷軸5天霜

跟烏弗瑞克 還有圖留斯說

看我的面子 不要打了

可以成功阻止嗎?


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.39.218.4 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588770569.A.1A1.html
推 bestteam: 天際省是比大聲的 沒在看面子                           05/06 21:11
→ SHADOW4869: 龍裔不是同拚吼聲的嗎                                05/06 21:15
→ yuizero: 天際是不會看面子的                                     05/06 21:18
推 knok: 守衛哪管你四皇還是龍裔，通通給我進監獄                    05/06 21:20


--------------------------------------------------------


 作者  hom5473 (homTsai)                                         看板  C_Chat 
 標題  [閒聊](新連載) 旅GAL! 日本縱貫單車遊                                   
 時間  Wed May  6 21:11:03 2020                                               
───────────────────────────────────────


旅ぎゃる！日本じゅーだんチャリきこー <川喜田ミツオ>
https://web-ace.jp/youngaceup/contents/1000140/
https://i.imgur.com/36dbxmz.jpg


老是在周末獨自騎自行車出遊的上班族 - 田中太郎(25)

這天騎到山道上 正想停下來好好享受一個人用餐的時光

卻看到路邊坐著一個看起來像是辣妹(GAL)的女孩

看到她坐在那又塗指甲油 又噴香水的

打定注意還是別扯上關係比較好

正當要騎車離開的時候


https://i.imgur.com/FLlNdte.jpg

大叔! 斜里町是這條路沒錯吧?

啊 那個... 跨過這上坡的高點就到了喔

是喔! Thank you!

大叔也是往那裏嗎?

嗯嗯 是這樣...

真的! 那一起吧!!

我是道端 Michika，青春洋溢的18歲呦，大叔呢?

...我叫田中，...但是我是騎自行車去的，所以沒法一起去

(獨自一個人的時間，可不想被打擾啊...)


https://i.imgur.com/utgx6Au.jpg

旅行車啊，以女高中生來說還挺懂得嘛

然而田中仔細一看，卻發現車身滿滿閃亮亮的裝飾


https://i.imgur.com/kqOsyDy.jpg

這可是 Michika 裝飾的喔! 可愛吧!

因為是黃色的，所以就叫香蕉醬了!

(辣妹的行為真是讓人搞不懂啊)

不好意思，我偏好一個人去所以...

  诶
  诶
~，不是都說『出外好朋友』嘛

應該是『出外靠朋友』吧，那我就先走了

哈啊!?

田中小氣鬼!!

(別初次見面就吼人小氣鬼啊...，而且還不加稱謂...)


https://i.imgur.com/80JrdaY.jpg

呼---，來到這裡就行了吧...

悠閒的吃飯吧...

田中--------------------!!

聽到辣妹的呼叫立刻騎車走人的田中

然而始終甩不掉從背後傳來的呼叫聲

正想用力加速的時候卻身體一晃

此時才察覺到因為沒吃午餐，導致進入了撞牆期(肝醣耗盡)

往背後口袋伸手一撈卻發現午餐不見了

只好在路邊坐下來休息了


正好此時辣妹也追了上來
https://i.imgur.com/L7BxtfI.jpg

田中!! 你掉下來的午餐，我幫你送過來了喔

道...端小姐

不過看上去太好吃了，中途就吃掉了，歹勢啊

...這個超自我中心的死辣妹...

田中--------------------!!

在辣妹的呼喊中餓昏過去的田中


https://i.imgur.com/dJqGKgL.jpg

嗯?

啊，醒了嗎? 田中!

道端...小姐，到底是?

先等我一下喔，剛好煮好了

將將! 取名為『加了附近野草的粥』!!

放心吧，Michika 自己吃過好幾次了啦


https://i.imgur.com/EkA0gwf.jpg

好吃!

...道端小姐明明是辣妹，意外的很正常呢...

啊! 對辣妹的偏見!  這樣不行喔

擅自吃了人家的午餐之類的

那，那件事，想要道歉才追上來的，但是田中跑掉了才...

第一次碰到的時候還噴了香水呢，不想被打擾到在山上度過的時間啊

嗚哇~孤僻思想~

吵死了!!

香水是這個嗎?

你幹啥啊，.....，涼涼的!

薄荷油! 這可是驅蟲的

Michika 可是從鹿兒島來的騎腳踏車旅行的超級專家呢!

從鹿兒島騎車來的? 這裡可是北海道欸!?

原來Michika 決定要參加好朋友的婚禮
但是她又嚴重暈車到除了腳踏車以外，都是30秒就吐了

就只能騎腳踏車了

然後不斷的遇到不同的人們，逛過一大堆不同的景點之後

現在變得超愛騎腳踏車旅行了

順便還因為把旅途中的照片發到朋友圈子裡，大家給讚變得超有人氣的感覺

聽了之後不禁沉思的田中

最後決定帶 Michika 去這附近的私房景點

男鹿の  滝
 (真的有呢 https://www.kiyosatokankou.com/ojikanotaki.html)

看到美景就開啟瘋狂拍照模式的 Michika

最後還拉著田中一起自拍


隨著日落

兩人也到了告別的時候了

看著手機裡的合照

田中不禁向 Michika 喊到

下次如果再遇到的話，讓我多聽聽你旅行的故事吧!!

超OK好呀---!!





GAL語好難懂啊

--
  対
ありでした。 ～お  嬢
さまは格  闘ゲームなんてしない～
https://comic-walker.com/contents/detail/KDCW_MF01201642010000_68/
https://i.imgur.com/xEH8V4w.png
https://i.imgur.com/V4FD0rI.png

#JK #FTG #百合 #校園 #千金小姐

--
